total_timesteps,explained_variance,fps,nupdates,policy_entropy,value_loss,ep_reward_mean,ep_len_mean
2168000,0.7620430737733841,1121,27100,1.7799396514892578,0.05596198886632919,-19.92,988.41
2176000,0.9034567624330521,1122,27200,1.7805007696151733,0.024616427719593048,-19.99,984.82
2184000,0.8641355782747269,1122,27300,1.7834370136260986,0.05236642807722092,-20.03,979.7
2192000,0.8772384002804756,1122,27400,1.7778974771499634,0.03805195540189743,-20.08,978.02
2200000,0.9507819898426533,1122,27500,1.774640679359436,0.01953018270432949,-20.05,975.26
2208000,0.9165460467338562,1123,27600,1.7808802127838135,0.012020731344819069,-20.03,975.54
2216000,0.8185099065303802,1123,27700,1.7832624912261963,0.02952663227915764,-19.91,992.04
2224000,0.8650455325841904,1123,27800,1.7838226556777954,0.05188959091901779,-19.91,992.14
2232000,0.9376979321241379,1124,27900,1.7849804162979126,0.011171964928507805,-19.93,991.56
2240000,0.8593888133764267,1124,28000,1.783055067062378,0.04729340225458145,-19.91,994.69
2248000,0.8510105311870575,1125,28100,1.781158685684204,0.01352115161716938,-19.83,1002.75
2256000,0.9150470942258835,1115,28200,1.7813594341278076,0.029653120785951614,-19.91,995.41
2264000,0.9078940749168396,1115,28300,1.776965856552124,0.01319353561848402,-19.88,998.95
2272000,0.8276594430208206,1116,28400,1.7828457355499268,0.020467642694711685,-19.83,1005.5
2280000,0.8202154338359833,1116,28500,1.780347466468811,0.0302939061075449,-19.82,1007.97
2288000,0.9132968410849571,1116,28600,1.7804352045059204,0.030349556356668472,-19.77,1011.68
2296000,0.9491464160382748,1116,28700,1.780578374862671,0.011752237565815449,-19.75,1014.34
2304000,0.9297326281666756,1117,28800,1.7681066989898682,0.01208627037703991,-19.76,1013.57
2312000,0.9194135144352913,1117,28900,1.7808395624160767,0.02418607845902443,-19.73,1017.33
2320000,0.797517865896225,1118,29000,1.7770061492919922,0.028495579957962036,-19.79,1014.31
2328000,0.9804240129888058,1118,29100,1.7721130847930908,0.006625583861023188,-19.81,1017.2
2336000,0.9069582968950272,1118,29200,1.7772853374481201,0.011900337412953377,-19.81,1018.02
2344000,0.9374775066971779,1118,29300,1.780946969985962,0.015981566160917282,-19.84,1016.65
2352000,0.9237894639372826,1119,29400,1.7748668193817139,0.021562380716204643,-19.81,1028.13
2360000,0.9419420696794987,1119,29500,1.7805570363998413,0.016603104770183563,-19.77,1030.66
2368000,0.8391491919755936,1119,29600,1.7757890224456787,0.0288802869617939,-19.78,1022.84
2376000,0.8786750286817551,1119,29700,1.7776731252670288,0.020424362272024155,-19.76,1023.63
