fps,serial_timesteps,explained_variance,value_loss,approxkl,policy_loss,policy_entropy,time_elapsed,clipfrac,total_timesteps,n_updates,ep_len_mean,ep_reward_mean
972,131712,0.59064981341362,0.03169035,0.0015222457,-0.004814958,1.1527503,1248.7605216503143,0.12597656,1053696,1029,2560.64,-8.46
1025,131840,0.6737449169158936,0.024288042,0.0016566832,-0.006138158,1.1999606,1249.8152086734772,0.13989258,1054720,1030,2560.64,-8.46
1059,131968,0.6845093071460724,0.026114563,0.0018731268,-0.0061591906,1.1837382,1250.8157732486725,0.14501953,1055744,1031,2560.64,-8.46
916,132096,0.652538537979126,0.028784249,0.002108959,-0.005279207,1.1711406,1251.78400349617,0.15722656,1056768,1032,2566.84,-8.44
940,132224,0.7520314306020737,0.022786725,0.0012349307,-0.0041570542,1.1774553,1252.9038019180298,0.09082031,1057792,1033,2566.84,-8.44
863,132352,0.5450524389743805,0.04198471,0.0023637516,-0.002555728,1.1613919,1253.9948859214783,0.19140625,1058816,1034,2573.73,-8.39
897,132480,0.6332127749919891,0.030022081,0.0027032837,-0.0056973016,1.149839,1255.1820533275604,0.19726562,1059840,1035,2577.02,-8.41
1012,132608,0.6706881821155548,0.03009176,0.0015694564,-0.0037240633,1.127058,1256.324229478836,0.13110352,1060864,1036,2577.02,-8.41
1057,132736,0.48456674814224243,0.046137515,0.0024433201,-0.0051884484,1.0943316,1257.3371751308441,0.15698242,1061888,1037,2577.02,-8.41
974,132864,0.6668204069137573,0.023956107,0.0017834989,-0.004824519,1.1641675,1258.3069474697113,0.14697266,1062912,1038,2577.02,-8.41
856,132992,0.6221292018890381,0.033748884,0.0018649384,-0.0057197707,1.102276,1259.3589017391205,0.13574219,1063936,1039,2577.26,-8.39
1006,133120,0.5980817675590515,0.03646889,0.0021239917,-0.0045144972,1.1446904,1260.558712720871,0.1628418,1064960,1040,2577.26,-8.39
974,133248,0.6540063619613647,0.03351702,0.0022879185,-0.005833967,1.1007775,1261.577256679535,0.14453125,1065984,1041,2585.33,-8.29
909,133376,0.6015669405460358,0.03936605,0.002113434,-0.004611944,1.090914,1262.630850315094,0.13671875,1067008,1042,2585.33,-8.29
1020,133504,0.6074928343296051,0.031812735,0.0015483656,-0.006219357,1.1197945,1263.7594060897827,0.11987305,1068032,1043,2585.33,-8.29
956,133632,0.5976195931434631,0.031126428,0.0018422978,-0.0066905953,1.1076666,1264.7652099132538,0.14916992,1069056,1044,2585.33,-8.29
997,133760,0.7395438849925995,0.022461165,0.0028578967,-0.0038168915,1.0730262,1265.8383038043976,0.20922852,1070080,1045,2585.33,-8.29
951,133888,0.5867241621017456,0.036216497,0.0020186051,-0.0037902314,1.0761341,1266.866584777832,0.16210938,1071104,1046,2585.33,-8.29
1030,134016,0.7233496606349945,0.022284692,0.002896524,-0.00427517,1.0849239,1267.944489955902,0.22729492,1072128,1047,2585.33,-8.29
939,134144,0.5569009780883789,0.040714145,0.0013104866,-0.0052759936,1.1078782,1268.9404997825623,0.11035156,1073152,1048,2585.33,-8.29
1002,134272,0.5311247408390045,0.040056143,0.0015186882,-0.0045493823,1.0702944,1270.0317327976227,0.1328125,1074176,1049,2585.33,-8.29
937,134400,0.7256395518779755,0.022506861,0.0019591216,-0.005189675,1.1409024,1271.054886341095,0.1665039,1075200,1050,2585.33,-8.29
936,134528,0.6149665415287018,0.031487815,0.0023803238,-0.005127066,1.0839901,1272.1482117176056,0.16625977,1076224,1051,2591.06,-8.07
924,134656,0.6091846823692322,0.027985407,0.0027897356,-0.0049436614,1.1016688,1273.2434940338135,0.1953125,1077248,1052,2591.06,-8.07
1112,134784,0.6391563713550568,0.039127644,0.0020406318,-0.0046303775,1.0324247,1274.3531429767609,0.12475586,1078272,1053,2591.06,-8.07
1081,134912,0.7008551955223083,0.024580767,0.0019372504,-0.002883432,1.0825859,1275.2754781246185,0.15161133,1079296,1054,2591.06,-8.07
1111,135040,0.54167240858078,0.044966035,0.0023175317,-0.006251919,1.0428723,1276.223489522934,0.15332031,1080320,1055,2591.06,-8.07
959,135168,0.7067385315895081,0.02083956,0.001704778,-0.005187304,1.0852537,1277.1478686332703,0.15771484,1081344,1056,2591.06,-8.07
917,135296,0.4395788908004761,0.041686907,0.001968551,-0.00592789,1.0525352,1278.2166194915771,0.1381836,1082368,1057,2603.4,-7.96
918,135424,0.731224924325943,0.023201501,0.0020940742,-0.0031306704,1.1092957,1279.3347370624542,0.15722656,1083392,1058,2613.01,-7.9
902,135552,0.6576519906520844,0.038289726,0.0018376574,-0.0048665437,1.0619584,1280.4513466358185,0.14282227,1084416,1059,2617.07,-7.89
935,135680,0.6516573429107666,0.026460495,0.0025451672,-0.0040933397,1.0443469,1281.587628364563,0.19873047,1085440,1060,2616.13,-7.83
913,135808,0.6164910793304443,0.032831617,0.0030083226,-0.0050613303,1.0581369,1282.6851983070374,0.2121582,1086464,1061,2612.31,-7.94
1016,135936,0.78547602891922,0.022369582,0.0023687214,-0.003695605,1.0815861,1283.8082468509674,0.17675781,1087488,1062,2612.31,-7.94
1007,136064,0.8117600679397583,0.017879132,0.0026797194,-0.0046476442,1.0645031,1284.817291021347,0.18579102,1088512,1063,2612.31,-7.94
920,136192,0.8112296909093857,0.019297116,0.0017225306,-0.0062024035,1.0766596,1285.8353564739227,0.16723633,1089536,1064,2612.31,-7.94
970,136320,0.7448491752147675,0.02818341,0.0014500419,-0.0048811575,1.0896481,1286.9495084285736,0.11450195,1090560,1065,2612.31,-7.94
962,136448,0.6982943415641785,0.031090934,0.0018593979,-0.004394188,1.0722514,1288.0062427520752,0.14550781,1091584,1066,2615.2,-7.91
1126,136576,0.7654552608728409,0.019574536,0.0021529966,-0.005049415,1.0933144,1289.0714950561523,0.17211914,1092608,1067,2615.2,-7.91
1048,136704,0.78892020881176,0.024537217,0.0016556449,-0.005228934,1.0297275,1289.9826855659485,0.14282227,1093632,1068,2615.2,-7.91
1041,136832,0.7486814260482788,0.020507507,0.0017346039,-0.0049613183,1.0853398,1290.960999250412,0.12158203,1094656,1069,2615.2,-7.91
1024,136960,0.7136397361755371,0.025607558,0.0018986883,-0.0061462354,1.0717863,1291.9458947181702,0.13110352,1095680,1070,2615.2,-7.91
968,137088,0.7639356404542923,0.021745225,0.001834346,-0.003748963,1.0827489,1292.9469766616821,0.14282227,1096704,1071,2615.2,-7.91
834,137216,0.6625682413578033,0.031361494,0.0018837195,-0.004725458,1.0651877,1294.0064220428467,0.13330078,1097728,1072,2615.2,-7.91
